입력 토큰 bin 시작,입력 토큰 bin 끝,출력 토큰 bin 시작,출력 토큰 bin 끝,호출 수,TTFT 표본 수,소요 시간 표본 수,TTFT p90,TTFT p95,TTFT p99,소요 시간 p90,소요 시간 p95,소요 시간 p99
1000,1999,0,999,9,9,9,0.9404479085584171,0.976074891758617,1.004576478318777,14.119420400000001,14.7018452,15.16778504
1000,1999,1000,1999,19,19,19,1.0107181997969745,1.1139895835891367,1.1145829831063747,19.1734826,19.9090985,20.1190901
1000,1999,2000,2999,1,1,1,0.9845716669806279,0.9845716669806279,0.9845716669806279,30.81369,30.81369,30.81369
2000,2999,0,999,34,34,34,1.2317422249296215,1.268969799898332,1.2798397019674304,14.7263658,14.88327565,14.91956907
2000,2999,1000,1999,23,23,23,1.1521497162175365,1.2320015534933189,1.306247997012688,26.6355536,27.291627199999997,28.04779188
2000,2999,2000,2999,3,3,3,1.0617576414253562,1.0650374247285073,1.067661251371028,29.8213418,29.8456599,29.86511438
3000,3999,0,999,12,12,12,1.3009649753104895,1.3402315043611452,1.3770613008784132,14.936195099999999,15.0650477,15.13873274
3000,3999,1000,1999,10,10,10,1.4155900664220098,1.418908741712221,1.4215636819443898,18.009321699999997,18.25085785,18.444086770000002
4000,4999,0,999,4,4,4,1.8966399502183777,1.9012159126257757,1.904876682551694,14.1665133,14.42320065,14.62855053
4000,4999,1000,1999,5,5,5,1.7910220668069088,1.8016856584115886,1.8102165316953325,25.443276,25.721897,25.9447938
4000,4999,2000,2999,1,1,1,1.712234000035096,1.712234000035096,1.712234000035096,33.003469,33.003469,33.003469
