출발 행위자 ID,출발 행위자 이름,대상 행위자 ID,대상 행위자 이름,실제 대상 액션 수,의도 전용 연결 수,공개 연결 수,그룹 연결 수,비공개 연결 수,스레드 연결 수,첫 라운드,마지막 라운드,누적 연결 횟수,엣지 라벨 요약,엣지 라벨 변형 수
cfo_financial,CFO,cto_developer,공동창업자 CTO,5,0,0,5,0,5,2,7,5,internal_risk_assessment,1
cto_developer,공동창업자 CTO,cfo_financial,CFO,4,0,0,4,0,4,2,7,4,internal_risk_assessment,1
ceo_yooim,창업자 CEO,independent_director,독립 사외이사,4,0,0,4,0,4,1,7,4,board_confrontation,1
ceo_yooim,창업자 CEO,investor_partner,리드 투자사 파트너,4,0,0,4,0,4,1,7,4,board_confrontation,1
independent_director,독립 사외이사,cfo_financial,CFO,2,0,0,2,0,2,6,7,2,internal_risk_assessment,1
independent_director,독립 사외이사,cto_developer,공동창업자 CTO,2,0,0,2,0,2,6,7,2,internal_risk_assessment,1
independent_director,독립 사외이사,investor_partner,리드 투자사 파트너,2,0,0,2,0,2,1,3,2,board_confrontation,1
independent_director,독립 사외이사,ceo_yooim,창업자 CEO,2,0,0,2,0,2,1,3,2,board_confrontation,1
investor_partner,리드 투자사 파트너,independent_director,독립 사외이사,1,0,0,1,0,1,1,1,1,board_confrontation,1
investor_partner,리드 투자사 파트너,ceo_yooim,창업자 CEO,1,0,0,1,0,1,1,1,1,board_confrontation,1
